paper_id	subj	pred	obj
PMID:15025773	C0	support	E1
PMID:15025773	C0	support	E2
PMID:15025773	C0	support	E3
PMID:23361625	C0	support	E1
PMID:23361625	C0	support	E2
PMID:23361625	C0	support	E3
PMID:26633262	C0	support	E1
PMID:26633262	C0	support	E2
PMID:26633262	C0	support	E3
PMID:26903338	C0	support	E1
PMID:26903338	C0	support	E2
PMID:26903338	C0	support	E3
PMID:27379022	C0	support	E1
PMID:27379022	C0	support	E2
PMID:27379022	C0	support	E3
PMID:29025194	C0	support	E1
PMID:30105022	C0	support	E1
PMID:30105022	C0	support	E2
PMID:30105022	C0	support	E3
PMID:30111341	C0	support	E1
PMID:30111341	C0	support	E2
PMID:30111341	C0	support	E3
PMID:33150472	C0	support	E1
PMID:33150472	C0	support	E2
PMID:33150472	C0	support	E3
PMID:33159530	C0	support	E1
PMID:33159530	C0	support	E2
PMID:33159530	C0	support	E3
PMID:33876268	C0	support	E1
PMID:33876268	C0	support	E2
PMID:33876268	C0	support	E3
PMID:34351722	C0	support	E1
PMID:34351722	C0	support	E2
PMID:34351722	C0	support	E3
PMID:35708858	C0	support	E1
PMID:35708858	C0	support	E2
PMID:35708858	C0	support	E3
PMID:37176780	C0	support	E1
PMID:37176780	C0	support	E2
PMID:37176780	C0	support	E3
PMID:37888913	C0	support	E1
PMID:37888913	C0	support	E2
PMID:37888913	C0	support	E3
PMID:38250247	C0	support	E1
PMID:38250247	C0	support	E2
PMID:38250247	C0	support	E3
PMID:39787606	C0	support	E1
PMID:39787606	C0	support	E2
PMID:39787606	C0	support	E3
PMID:39905519	C0	support	E1
PMID:39905519	C0	support	E2
PMID:39905519	C0	support	E3
PMID:41180093	C0	support	E1
PMID:41180093	C0	support	E2
PMID:41180093	C0	support	E3
