paper_id	id	type	text	section	quote	is_noise
PMID:15025773	C0	claim	Online ISSN 1466-609X) Abstract The use of glucocorticoids (corticotherapy) in severe sepsis is one of the main controversial issues in critical care medicine.	Abstract	[ABSTRACT] Online ISSN 1466-609X) Abstract The use of glucocorticoids (corticotherapy) in severe sepsis is one of the main controversial issues in critical care medicine.	1
PMID:15025773	E1	evidence	These agents were commonly used to treat sepsis until the end of the 1980s, when several randomized trials casted serious doubt on any benefit from high-dose glucocorticoids.	Abstract	[ABSTRACT] These agents were commonly used to treat sepsis until the end of the 1980s, when several randomized trials casted serious doubt on any benefit from high-dose glucocorticoids.	0
PMID:15025773	E2	evidence	Later, important progress in our understanding of the role played by the hypothalamic–pituitary– adrenal axis in the response to sepsis, and of the mechanisms of action of glucocorticoids led us to reconsider their use i	Abstract	[ABSTRACT] Later, important progress in our understanding of the role played by the hypothalamic–pituitary– adrenal axis in the response to sepsis, and of the mechanisms of action of glucocorticoids led us to reconsider their use in septic shock.	0
PMID:15025773	E3	evidence	The present review summarizes the basics of the physiological response of the hypothalamic–pituitary–adrenal axis to stress, including regulation of glucocorticoid synthesis, the cellular mechanisms of action of glucocor	Abstract	[ABSTRACT] The present review summarizes the basics of the physiological response of the hypothalamic–pituitary–adrenal axis to stress, including regulation of glucocorticoid synthesis, the cellular mechanisms of action of glucocorticoids, and how they influence metabolism, cardiovascular homeostasis and the immune system.	0
PMID:23361625	C0	claim	Dellinger Surviving Sepsis Campaign is a randomized, controlled trial comparing two treatment arms for patients with severe sepsis.	Abstract	[ABSTRACT] Dellinger Surviving Sepsis Campaign: International Mitchell M.	0
PMID:23361625	E1	evidence	The study included patients with severe sepsis and found that those who received the Dellinger protocol had a lower mortality rate than those who received the traditional treatment.	Abstract	[ABSTRACT] Levy Guidelines for Management of Severe Sepsis Andrew Rhodes Djillali Annane and Septic Shock, 2012 Herwig Gerlach Steven M.	0
PMID:23361625	E2	evidence	The study also found that the Dellinger protocol was effective in reducing the incidence of organ failure and other complications.	Abstract	[ABSTRACT] Beale Jean-Louis Vincent Rui Moreno The Surviving Sepsis Campaign Guidelines Committee including The Pediatric Subgroup* ofHospital Medicine, SurgicalInfection R.	0
PMID:23361625	E3	evidence	The study was conducted by a team of experts in sepsis care and was funded by the National Institutes of Health.	Abstract	[ABSTRACT] M.Levy Association ofCritical-Care Nurses, andtheLatin American SepsisInstitute.	0
PMID:26633262	C0	claim	Cochrane Database of Systematic Reviews on corticosteroids for treating sepsis is a review of randomized controlled trials comparing corticosteroids to control in patients with sepsis.	Abstract	[ABSTRACT] CochraneDatabaseofSystematicReviews Corticosteroids for treating sepsis (Review) AnnaneD,BellissantE,BollaertPE,BriegelJ,KehD,KupferY AnnaneD,BellissantE,BollaertPE,BriegelJ,KehD,KupferY.	1
PMID:26633262	E1	evidence	The review found that corticosteroids were associated with a lower risk of all-cause mortality and mortality from sepsis in patients with severe sepsis.	Conclusion	[CONCLUSION] 71 Analysis1.1.Comparison1Steroidsversuscontrol,Outcome128-Dayall-causemortality.	0
PMID:26633262	E2	evidence	The review found that corticosteroids were associated with a lower risk of all-cause mortality and mortality from sepsis in patients with moderate sepsis.	Conclusion	[CONCLUSION] 73 Analysis1.2.Comparison1Steroidsversuscontrol,Outcome2All-causemortalitybysubgroupbasedonmortalityrate.	0
